"","x"
"CELL1075_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL551_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL29_N3_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL1113_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL1055_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL715_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL574_N1_11T35-2-210426","GABA_3_Pvalb_PDGFC"
"CELL24_N2_11T35-2-210426","GABA_9_Pvalb_SNTG2"
"CELL563_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL943_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL447_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL755_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL649_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL822_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL782_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL940_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL323_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL359_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL412_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL363_N1_11T35-2-210426","GABA_9_Pvalb_SNTG2"
"CELL69_N2_11T35-2-210426","Glu_18_CA_NPNT"
"CELL764_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL578_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL744_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL704_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL593_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL178_N1_11T35-2-210426","Glu_13_CA_NDST4"
"CELL569_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL681_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL302_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL272_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL836_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL489_N1_11T35-2-210426","GABA_11_Pvalb_TRDN"
"CELL254_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL555_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL348_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL434_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL480_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL158_N1_11T35-2-210426","Glu_4_CA_GRIA4"
"CELL514_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL424_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL444_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1020_N1_11T35-2-210426","GABA_0_Sst_TRHDE"
"CELL199_N1_11T35-2-210426","Glu_19_CA_HHIP"
"CELL517_N1_11T35-2-210426","GABA_4_Cck_CLMP"
"CELL652_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL153_N1_11T35-2-210426","GABA_7_Sst_NPY"
"CELL951_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL1071_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL897_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL112_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL486_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL662_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL256_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL71_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL659_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL326_N1_11T35-2-210426","Glu_19_CA_HHIP"
"CELL646_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL498_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL904_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL139_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL130_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL351_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL1002_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL560_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL147_N1_11T35-2-210426","Glu_16_CA_TRPC3"
"CELL54_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL31_N2_11T35-2-210426","Glu_8_CA_PDE1C"
"CELL53_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL740_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL952_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL932_N1_11T35-2-210426","GABA_13_Cck_Phka2"
"CELL380_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL207_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL1056_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL497_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL611_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL259_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL557_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL622_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL667_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL923_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL924_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1023_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL670_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL265_N1_11T35-2-210426","Glu_16_CA_TRPC3"
"CELL804_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL283_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL258_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL664_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL101_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL375_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL1064_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL223_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL987_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL1106_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1018_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL429_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL183_N1_11T35-2-210426","Glu_11_CA_THEMIS"
"CELL23_N2_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL986_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL246_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL792_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL214_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL135_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL1117_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL855_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL324_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL277_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL165_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL376_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL790_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL423_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL360_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL833_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL519_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL186_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL315_N1_11T35-2-210426","Glu_13_CA_NDST4"
"CELL338_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL697_N1_11T35-2-210426","GABA_5_Vip_FAT3"
"CELL1016_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL756_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL812_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL409_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL701_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL844_N1_11T35-2-210426","olig_20_olig_olig"
"CELL549_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL418_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL39_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1031_N1_11T35-2-210426","olig_20_olig_olig"
"CELL22_N2_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL385_N1_11T35-2-210426","GABA_0_Sst_TRHDE"
"CELL335_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL718_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL540_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL317_N1_11T35-2-210426","GABA_8_Lamp5_NMBR"
"CELL502_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL531_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL472_N1_11T35-2-210426","olig_20_olig_olig"
"CELL12_N2_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL464_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL992_N1_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL477_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL65_N3_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL912_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL771_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL688_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL980_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL663_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL860_N1_11T35-2-210426","GABA_10_Lamp5_CA8"
"CELL905_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL292_N1_11T35-2-210426","Glu_11_CA_THEMIS"
"CELL754_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL523_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL236_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL522_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL601_N1_11T35-2-210426","GABA_2_Pvalb_PLCL1"
"CELL956_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL678_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL654_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL735_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL982_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL209_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL353_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL291_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL686_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL977_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL634_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL494_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL102_N2_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL355_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL446_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL332_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL330_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL307_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL100_N2_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL368_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL669_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL677_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL312_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL748_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL5_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL401_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL437_N1_11T35-2-210426","GABA_10_Lamp5_CA8"
"CELL841_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL631_N1_11T35-2-210426","GABA_2_Pvalb_PLCL1"
"CELL580_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL842_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL228_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL276_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL290_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL1062_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL805_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL698_N1_11T35-2-210426","GABA_4_Cck_CLMP"
"CELL554_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL683_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL983_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL383_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL524_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL313_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL594_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL939_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL512_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL331_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL1108_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL377_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL237_N1_11T35-2-210426","Glu_13_CA_NDST4"
"CELL712_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL449_N1_11T35-2-210426","Glu_19_CA_HHIP"
"CELL179_N1_11T35-2-210426","GABA_3_Pvalb_PDGFC"
"CELL253_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL328_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL536_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL460_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL672_N1_11T35-2-210426","GABA_5_Vip_FAT3"
"CELL242_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL653_N1_11T35-2-210426","GABA_7_Sst_NPY"
"CELL373_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL626_N1_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL919_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL988_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL830_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL518_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL414_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL17_N3_11T35-2-210426","GABA_10_Lamp5_CA8"
"CELL863_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL163_N1_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL749_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL597_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL954_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL609_N1_11T35-2-210426","GABA_0_Sst_TRHDE"
"CELL651_N1_11T35-2-210426","Glu_19_CA_HHIP"
"CELL962_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL829_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL442_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL1025_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL1057_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL394_N1_11T35-2-210426","Glu_8_CA_PDE1C"
"CELL806_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL499_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL496_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL612_N1_11T35-2-210426","GABA_11_Pvalb_TRDN"
"CELL417_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL587_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1125_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL760_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL506_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL433_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL762_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL876_N1_11T35-2-210426","olig_20_olig_olig"
"CELL1022_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL457_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL570_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL726_N1_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL927_N1_11T35-2-210426","GABA_13_Cck_Phka2"
"CELL589_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL508_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL438_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL931_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL299_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL765_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL598_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL542_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL793_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1118_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL413_N1_11T35-2-210426","Glu_4_CA_GRIA4"
"CELL264_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL736_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL741_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL682_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1038_N1_11T35-2-210426","olig_20_olig_olig"
"CELL729_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL221_N1_11T35-2-210426","Glu_18_CA_NPNT"
"CELL1092_N1_11T35-2-210426","olig_20_olig_olig"
"CELL825_N1_11T35-2-210426","Glu_16_CA_TRPC3"
"CELL1083_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1069_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1019_N1_11T35-2-210426","Glu_11_CA_THEMIS"
"CELL1041_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL150_N1_11T35-2-210426","Glu_13_CA_NDST4"
"CELL225_N1_11T35-2-210426","GABA_3_Pvalb_PDGFC"
"CELL197_N1_11T35-2-210426","GABA_7_Sst_NPY"
"CELL929_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL985_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL337_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL826_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1033_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL1060_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL1052_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL104_N2_11T35-2-210426","Glu_3_CA_FREM1"
"CELL567_N1_11T35-2-210426","Glu_11_CA_THEMIS"
"CELL752_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL1024_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL947_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL751_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL953_N1_11T35-2-210426","GABA_5_Vip_FAT3"
"CELL75_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL739_N1_11T35-2-210426","olig_20_olig_olig"
"CELL926_N1_11T35-2-210426","Glu_15_CA_ABI3BP"
"CELL504_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL673_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1072_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL485_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL668_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL300_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL1076_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL46_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL832_N1_11T35-2-210426","GABA_5_Vip_FAT3"
"CELL1096_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL270_N1_11T35-2-210426","Glu_9_CA_AADAT"
"CELL699_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL364_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL37_N2_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL845_N1_11T35-2-210426","GABA_2_Pvalb_PLCL1"
"CELL285_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL743_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL821_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL372_N1_11T35-2-210426","GABA_0_Sst_TRHDE"
"CELL655_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL908_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL797_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL850_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL573_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL354_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1012_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL456_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL1087_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL466_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL971_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL999_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1098_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL696_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL275_N1_11T35-2-210426","Glu_16_CA_TRPC3"
"CELL798_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL839_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1073_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL286_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL571_N1_11T35-2-210426","Glu_13_CA_NDST4"
"CELL492_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL650_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL1000_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL205_N1_11T35-2-210426","Glu_8_CA_PDE1C"
"CELL647_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL1126_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL921_N1_11T35-2-210426","olig_20_olig_olig"
"CELL244_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL362_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL603_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL606_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL584_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL973_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL991_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1046_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL750_N1_11T35-2-210426","Glu_4_CA_GRIA4"
"CELL425_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL981_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL194_N1_11T35-2-210426","Glu_3_CA_FREM1"
"CELL1010_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL195_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL903_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL252_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL255_N1_11T35-2-210426","Glu_10_CA_ALK"
"CELL481_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL807_N1_11T35-2-210426","OPC_21_OPC_OPC"
"CELL400_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL78_N2_11T35-2-210426","Glu_9_CA_AADAT"
"CELL1009_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL203_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL439_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL866_N1_11T35-2-210426","GABA_6_Vip_CBLN2"
"CELL261_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL852_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL902_N1_11T35-2-210426","GABA_1_Lamp5_NWD2"
"CELL964_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL674_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL746_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL240_N1_11T35-2-210426","Glu_7_CA_PRKCG"
"CELL639_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL658_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL280_N1_11T35-2-210426","GABA_8_Lamp5_NMBR"
"CELL979_N1_11T35-2-210426","Glu_14_Dg_NCDN"
"CELL922_N1_11T35-2-210426","olig_20_olig_olig"
"CELL1105_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL1070_N1_11T35-2-210426","olig_20_olig_olig"
"CELL990_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL614_N1_11T35-2-210426","astrocyte_7_astrocyte_astrocyte"
"CELL660_N1_11T35-2-210426","Glu_17_CA_CPLX3"
"CELL656_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL98_N2_11T35-2-210426","Glu_16_CA_TRPC3"
"CELL700_N1_11T35-2-210426","GABA_13_Cck_Phka2"
"CELL702_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL847_N1_11T35-2-210426","Glu_2_Dg_AKAP13"
"CELL1122_N1_11T35-2-210426","vas_fib_15_vas_fib_vas_fib"
"CELL1021_N1_11T35-2-210426","Glu_1_Dg_PPP3CA"
"CELL544_N1_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL838_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL16_N2_11T35-2-210426","Glu_0_Dg_PCDH15"
"CELL648_N1_11T35-2-210426","Glu_18_CA_NPNT"
"CELL1058_N1_11T35-2-210426","Glu_6_CA_CA2"
"CELL336_N1_11T35-2-210426","Glu_5_CA_SEMA6D"
"CELL288_N1_11T35-2-210426","Glu_6_CA_CA2"
