"","x"
"CELL1219_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL176_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL672_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL623_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL99_N2_3T26-1-210413","Glu_9_CA_AADAT"
"CELL61_N2_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL1109_N1_3T26-1-210413","GABA_5_Vip_FAT3"
"CELL307_N1_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL452_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL552_N1_3T26-1-210413","Glu_19_CA_HHIP"
"CELL858_N1_3T26-1-210413","vas_fib_15_vas_fib_vas_fib"
"CELL316_N1_3T26-1-210413","GABA_7_Sst_NPY"
"CELL1381_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL762_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL293_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL1414_N1_3T26-1-210413","GABA_5_Vip_FAT3"
"CELL170_N2_3T26-1-210413","Glu_9_CA_AADAT"
"CELL242_N2_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL113_N2_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL1170_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL7_N4_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL96_N2_3T26-1-210413","Glu_18_CA_NPNT"
"CELL1439_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL728_N1_3T26-1-210413","Glu_1_Dg_PPP3CA"
"CELL1312_N1_3T26-1-210413","Glu_10_CA_ALK"
"CELL310_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL1177_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1137_N1_3T26-1-210413","Glu_9_CA_AADAT"
"CELL303_N1_3T26-1-210413","GABA_7_Sst_NPY"
"CELL578_N1_3T26-1-210413","Glu_13_CA_NDST4"
"CELL144_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL161_N2_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL209_N3_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL590_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL461_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL226_N3_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL304_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL979_N1_3T26-1-210413","Glu_6_CA_CA2"
"CELL208_N2_3T26-1-210413","Glu_5_CA_SEMA6D"
"CELL778_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL919_N1_3T26-1-210413","Glu_17_CA_CPLX3"
"CELL363_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL957_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL722_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL524_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL712_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL402_N1_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL838_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL1266_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL308_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL581_N1_3T26-1-210413","Glu_2_Dg_AKAP13"
"CELL993_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL65_N2_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL1119_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL225_N2_3T26-1-210413","Glu_15_CA_ABI3BP"
"CELL683_N1_3T26-1-210413","GABA_7_Sst_NPY"
"CELL974_N1_3T26-1-210413","Glu_8_CA_PDE1C"
"CELL272_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL695_N1_3T26-1-210413","GABA_0_Sst_TRHDE"
"CELL740_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL294_N1_3T26-1-210413","Glu_18_CA_NPNT"
"CELL1113_N1_3T26-1-210413","Glu_11_CA_THEMIS"
"CELL506_N1_3T26-1-210413","Glu_4_CA_GRIA4"
"CELL89_N2_3T26-1-210413","Glu_16_CA_TRPC3"
"CELL29_N3_3T26-1-210413","GABA_4_Cck_CLMP"
"CELL192_N2_3T26-1-210413","Glu_15_CA_ABI3BP"
